# Sparse Matrix (Morse)  
# first line: n m (is symmetic) nbcoef 
# after for each nonzero coefficient:   i j a_ij where (i,j) \in  {1,...,n}x{1,...,m} 
22 22 0  386
        8         8 1.0000000000000000199e+30
        8         9 0
        8        10 0.16666666666666668517
        8        11 4.7011006198971472259e-16
        8        12 0
        8        13 0
        8        14 0
        8        15 5.898059818321144121e-17
        8        16 0.1666666666666666019
        8        17 0
        8        18 0
        8        19 -0.66666666666666662966
        8        20 0
        8        21 -2.3418766925686895775e-16
        8        22 0
        9         1 0
        9         2 0.1666666666666666019
        9         3 0
        9         4 0
        9         5 -0.66666666666666662966
        9         6 0
        9         7 -2.3592239273284576484e-16
        9         8 0
        9         9 1.0000000000000000199e+30
        9        10 0.16666666666666668517
        9        11 0
        9        12 4.7011006198971472259e-16
        9        13 0
        9        14 0
        9        15 5.8546917314217239436e-17
        9        16 0
        9        17 0.1666666666666666019
        9        18 5.898059818321144121e-17
        9        19 0
        9        20 -0.66666666666666662966
        9        21 0
        9        22 -2.3418766925686895775e-16
       10         1 -6.9388939039072283776e-18
       10         2 6.9388939039072283776e-18
       10         3 -4.1666666666666677134e-07
       10         4 -0.16666666666666671293
       10         5 0.33333333333333342585
       10         6 -0.16666666666666671293
       10         7 -6.9388939039072283776e-18
       10         8 0.16666666666666668517
       10         9 0.16666666666666668517
       10        10 -1.6666666666666670853e-06
       10        11 -0.16666666666666671293
       10        12 -0.16666666666666668517
       10        13 -6.9388939039072283776e-18
       10        14 -3.4694469519536141888e-18
       10        15 -8.3333333333333354267e-07
       10        16 3.4694469519536141888e-18
       10        17 -3.4694469519536141888e-18
       10        18 -4.1666666666666677134e-07
       10        19 0.33333333333333342585
       10        20 -0.16666666666666671293
       10        21 6.9388939039072283776e-18
       10        22 -0.16666666666666674068
       11         1 6.9388939039072283776e-17
       11         2 0
       11         3 0.16666666666666665741
       11         4 -1.3333333333333339255
       11         5 0
       11         6 -1.3333333333333330373
       11         7 0
       11         8 4.3888503942213219489e-16
       11         9 0
       11        10 -0.16666666666666674068
       11        11 5.3333333333333339255
       11        12 0
       11        13 4.1633363423443370266e-17
       11        14 0
       11        15 0.16666666666666657415
       11        16 3.9898639947466563171e-17
       11        17 0
       11        18 -0.16666666666666671293
       11        19 -1.3333333333333339255
       11        20 0
       11        21 -1.3333333333333332593
       11        22 0
       12         1 0
       12         2 6.9388939039072283776e-17
       12         3 -0.16666666666666674068
       12         4 0
       12         5 -1.3333333333333339255
       12         6 0
       12         7 -1.3333333333333330373
       12         8 0
       12         9 4.3888503942213219489e-16
       12        10 -0.16666666666666671293
       12        11 0
       12        12 5.3333333333333339255
       12        13 0
       12        14 4.1633363423443370266e-17
       12        15 0.1666666666666666019
       12        16 0
       12        17 3.9898639947466563171e-17
       12        18 0.16666666666666665741
       12        19 0
       12        20 -1.3333333333333339255
       12        21 0
       12        22 -1.3333333333333332593
       13         1 0.16666666666666665741
       13         2 0
       13         3 0
       13         4 -1.3877787807814456755e-17
       13         5 0
       13         6 -0.66666666666666651864
       13         7 0
       13         8 0
       13         9 0
       13        10 -6.9388939039072283776e-18
       13        11 4.1633363423443370266e-17
       13        12 0
       13        13 1.0000000000000000199e+30
       13        14 0
       13        15 -0.16666666666666662966
       13        16 0.16666666666666665741
       13        17 0
       13        18 1.7347234759768070944e-17
       13        19 -2.7755575615628913511e-17
       13        20 0
       13        21 -0.66666666666666651864
       13        22 0
       14         1 0
